"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
23,4,"10","67","53",98,1,17,0,51,0,30,0
23,4,"10","67","53",-22,0,NA,NA,NA,NA,NA,0
26,7,"10","53","43",-42,0,NA,NA,NA,NA,NA,0
26,7,"10","67","53",-4,0,NA,NA,NA,NA,NA,0
26,7,"10","43","53",-31,0,NA,NA,NA,NA,NA,0
26,7,"10","67","53",-16,0,NA,NA,NA,NA,NA,0
26,7,"10","67","53",-11,0,NA,NA,NA,NA,NA,0
26,7,"10","43","53",-21,0,NA,NA,NA,NA,NA,0
26,7,"10","53","43",-11,0,NA,NA,NA,NA,NA,0
26,7,"10","53","68",-27,0,NA,NA,NA,NA,NA,0
26,7,"10","53","43",-31,0,NA,NA,NA,NA,NA,0
26,7,"10","43","53",-9,0,NA,NA,NA,NA,NA,0
26,7,"10","43","53",-10,0,NA,NA,NA,NA,NA,0
26,7,"10","53","43",-25,0,NA,NA,NA,NA,NA,0
26,7,"10","67","81",-11,0,NA,NA,NA,NA,NA,0
26,7,"10","28","53",-6,0,NA,NA,NA,NA,NA,0
24,5,"10","53","28",68,1,68,0,0,0,0,0
24,5,"10","53","28",-14,0,NA,NA,NA,NA,NA,0
24,5,"10","53","68",-5,0,NA,NA,NA,NA,NA,0
24,5,"10","53","68",-20,0,NA,NA,NA,NA,NA,0
24,5,"10","80","68",2,0,NA,NA,NA,NA,NA,0
24,5,"10","67","53",-19,0,NA,NA,NA,NA,NA,0
24,5,"10","67","14",1,0,NA,NA,NA,NA,NA,0
24,5,"10","3","68",24,1,21,0,3,0,0,0
24,5,"10","67","53",48,1,0,0,48,0,0,0
24,5,"10","67","53",-23,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",-1,0,NA,NA,NA,NA,NA,0
24,5,"10","53","43",-15,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",7,0,NA,NA,NA,NA,NA,0
24,5,"10","53","43",-14,0,NA,NA,NA,NA,NA,0
24,5,"10","67","53",24,1,24,0,0,0,0,0
24,5,"10","53","68",-17,0,NA,NA,NA,NA,NA,0
24,5,"10","53","43",-17,0,NA,NA,NA,NA,NA,0
24,5,"10","67","53",10,0,NA,NA,NA,NA,NA,0
24,5,"10","53","68",-10,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",-5,0,NA,NA,NA,NA,NA,0
24,5,"10","53","43",-8,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",-10,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",20,1,0,0,20,0,0,0
24,5,"10","53","68",5,0,NA,NA,NA,NA,NA,0
24,5,"10","53","43",-2,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",-2,0,NA,NA,NA,NA,NA,0
24,5,"10","43","53",12,0,NA,NA,NA,NA,NA,0
24,5,"10","67","81",-22,0,NA,NA,NA,NA,NA,0
24,5,"10","28","53",30,1,0,0,30,0,0,0
23,4,"10","53","28",1,0,NA,NA,NA,NA,NA,0
23,4,"10","53","28",80,1,0,0,41,0,39,0
23,4,"10","53","68",46,1,46,0,0,0,0,0
23,4,"10","53","68",61,1,0,0,5,0,56,0
23,4,"10","80","68",30,1,0,0,30,0,0,0
23,4,"10","67","53",76,1,0,0,33,0,43,0
23,4,"10","67","14",0,0,NA,NA,NA,NA,NA,0
23,4,"10","3","68",82,1,82,0,0,0,0,0
23,4,"10","67","53",99,1,0,0,99,0,0,0
23,4,"10","43","53",40,1,0,0,40,0,0,0
23,4,"10","53","43",29,1,0,0,8,0,21,0
23,4,"10","67","53",-4,0,NA,NA,NA,NA,NA,0
23,4,"10","43","53",44,1,0,0,44,0,0,0
22,3,"10","28","53",-17,0,NA,NA,NA,NA,NA,0
22,3,"10","53","28",16,1,11,0,5,0,0,0
22,3,"10","14","68",50,1,0,0,50,0,0,0
22,3,"10","28","53",17,1,13,0,3,0,1,0
22,3,"10","67","3",108,1,0,0,88,0,20,0
22,3,"10","53","68",NA,NA,NA,NA,NA,NA,NA,0
22,3,"10","53","68",-8,0,NA,NA,NA,NA,NA,0
22,3,"10","67","14",16,1,16,0,0,0,0,0
22,3,"10","53","43",-19,0,NA,NA,NA,NA,NA,0
22,3,"10","67","53",7,0,NA,NA,NA,NA,NA,0
22,3,"10","67","81",229,1,0,126,0,0,103,0
22,3,"10","67","53",NA,NA,NA,NA,NA,NA,NA,0
22,3,"10","3","68",251,1,0,0,54,0,197,0
22,3,"10","53","68",149,1,0,0,149,0,0,0
22,3,"10","67","53",34,1,0,0,34,0,0,0
22,3,"10","67","53",-21,0,NA,NA,NA,NA,NA,0
22,3,"10","53","28",2,0,NA,NA,NA,NA,NA,0
22,3,"10","53","28",-11,0,NA,NA,NA,NA,NA,0
22,3,"10","53","68",-1,0,NA,NA,NA,NA,NA,0
22,3,"10","53","68",7,0,NA,NA,NA,NA,NA,0
22,3,"10","80","68",36,1,0,0,36,0,0,0
22,3,"10","67","53",-17,0,NA,NA,NA,NA,NA,0
22,3,"10","67","14",175,1,49,0,0,0,126,0
22,3,"10","3","68",-15,0,NA,NA,NA,NA,NA,0
22,3,"10","67","53",70,1,0,0,70,0,0,0
22,3,"10","43","53",18,1,1,0,0,0,17,0
22,3,"10","53","43",20,1,20,0,0,0,0,0
22,3,"10","67","53",70,1,69,0,1,0,0,0
22,3,"10","43","53",-15,0,NA,NA,NA,NA,NA,0
22,3,"10","53","43",-5,0,NA,NA,NA,NA,NA,0
22,3,"10","53","43",-19,0,NA,NA,NA,NA,NA,0
22,3,"10","43","53",-22,0,NA,NA,NA,NA,NA,0
22,3,"10","67","53",-20,0,NA,NA,NA,NA,NA,0
22,3,"10","53","68",-41,0,NA,NA,NA,NA,NA,0
22,3,"10","53","43",-15,0,NA,NA,NA,NA,NA,0
22,3,"10","67","53",72,1,0,72,0,0,0,0
22,3,"10","53","68",114,1,0,0,92,0,22,0
22,3,"10","43","53",-12,0,NA,NA,NA,NA,NA,0
22,3,"10","53","43",35,1,27,0,8,0,0,0
22,3,"10","43","53",-15,0,NA,NA,NA,NA,NA,0
22,3,"10","53","68",57,1,0,0,14,0,43,0
20,1,"10","53","28",-30,0,NA,NA,NA,NA,NA,0
20,1,"10","28","53",65,1,6,0,0,0,59,0
20,1,"10","53","68",-29,0,NA,NA,NA,NA,NA,0
20,1,"10","43","53",-9,0,NA,NA,NA,NA,NA,0
20,1,"10","14","68",-7,0,NA,NA,NA,NA,NA,0
20,1,"10","53","28",5,0,NA,NA,NA,NA,NA,0
20,1,"10","67","53",18,1,0,0,18,0,0,0
20,1,"10","80","68",14,0,NA,NA,NA,NA,NA,0
20,1,"10","53","68",7,0,NA,NA,NA,NA,NA,0
20,1,"10","67","53",-23,0,NA,NA,NA,NA,NA,0
23,4,"10","53","43",36,1,0,0,36,0,0,0
23,4,"10","53","43",47,1,0,0,47,0,0,0
23,4,"10","67","53",78,1,0,0,78,0,0,0
23,4,"10","53","68",9,0,NA,NA,NA,NA,NA,0
23,4,"10","53","43",1,0,NA,NA,NA,NA,NA,0
23,4,"10","67","53",81,1,79,0,0,0,2,0
23,4,"10","53","68",-6,0,NA,NA,NA,NA,NA,0
23,4,"10","43","53",82,1,0,0,82,0,0,0
23,4,"10","53","43",165,1,0,0,4,0,161,0
23,4,"10","43","53",-2,0,NA,NA,NA,NA,NA,0
23,4,"10","53","68",78,1,0,0,78,0,0,0
23,4,"10","53","43",47,1,0,0,16,0,31,0
23,4,"10","43","53",116,1,0,0,36,0,80,0
23,4,"10","43","53",51,1,0,0,51,0,0,0
23,4,"10","53","43",33,1,0,0,33,0,0,0
23,4,"10","67","81",-2,0,NA,NA,NA,NA,NA,0
23,4,"10","28","53",24,1,0,0,24,0,0,0
22,3,"10","67","53",NA,NA,NA,NA,NA,NA,NA,0
22,3,"10","67","3",208,1,26,0,41,0,141,0
22,3,"10","28","53",-4,0,NA,NA,NA,NA,NA,0
22,3,"10","53","28",1,0,NA,NA,NA,NA,NA,0
22,3,"10","53","68",NA,NA,NA,NA,NA,NA,NA,0
22,3,"10","28","53",-23,0,NA,NA,NA,NA,NA,0
22,3,"10","53","28",-10,0,NA,NA,NA,NA,NA,0
22,3,"10","28","53",-16,0,NA,NA,NA,NA,NA,0
22,3,"10","53","68",-25,0,NA,NA,NA,NA,NA,0
22,3,"10","43","53",-22,0,NA,NA,NA,NA,NA,0
22,3,"10","14","68",51,1,0,0,47,0,4,0
22,3,"10","53","28",20,1,0,0,20,0,0,0
22,3,"10","67","53",40,1,31,0,5,0,4,0
22,3,"10","80","68",60,1,0,0,51,0,9,0
22,3,"10","53","68",-38,0,NA,NA,NA,NA,NA,0
22,3,"10","67","53",15,1,0,0,15,0,0,0
21,2,"10","67","53",12,0,NA,NA,NA,NA,NA,0
21,2,"10","43","53",16,1,0,0,16,0,0,0
21,2,"10","53","43",55,1,0,0,55,0,0,0
21,2,"10","67","53",-18,0,NA,NA,NA,NA,NA,0
21,2,"10","43","53",12,0,NA,NA,NA,NA,NA,0
21,2,"10","53","43",0,0,NA,NA,NA,NA,NA,0
