"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
24,5,"EV","ELM","DTW",-24,0,NA,NA,NA,NA,NA,0
9,4,"EV","ELM","DTW",2,0,NA,NA,NA,NA,NA,0
16,4,"EV","ELM","DTW",57,1,0,0,0,0,57,0
20,1,"EV","ELM","DTW",103,1,0,0,0,0,103,0
19,7,"EV","ELM","DTW",-4,0,NA,NA,NA,NA,NA,0
26,7,"EV","ELM","DTW",64,1,0,0,0,0,64,0
28,2,"EV","ELM","DTW",16,1,0,0,0,0,16,0
15,3,"EV","ELM","DTW",68,1,68,0,0,0,0,0
1,3,"EV","ELM","DTW",-32,0,NA,NA,NA,NA,NA,0
5,7,"EV","ELM","DTW",-21,0,NA,NA,NA,NA,NA,0
4,6,"EV","ELM","DTW",-10,0,NA,NA,NA,NA,NA,0
21,2,"EV","ELM","DTW",-9,0,NA,NA,NA,NA,NA,0
3,5,"EV","ELM","DTW",-13,0,NA,NA,NA,NA,NA,0
12,7,"EV","ELM","DTW",-15,0,NA,NA,NA,NA,NA,0
2,4,"EV","ELM","DTW",-18,0,NA,NA,NA,NA,NA,0
13,1,"EV","ELM","DTW",-10,0,NA,NA,NA,NA,NA,0
10,5,"EV","ELM","DTW",-8,0,NA,NA,NA,NA,NA,0
6,1,"EV","ELM","DTW",4,0,NA,NA,NA,NA,NA,0
5,7,"EV","LGA","PIT",-19,0,NA,NA,NA,NA,NA,0
24,5,"EV","LGA","TVC",58,1,21,0,37,0,0,0
17,5,"EV","LGA","TVC",NA,NA,NA,NA,NA,NA,NA,0
7,2,"EV","LGA","GSO",-26,0,NA,NA,NA,NA,NA,0
6,1,"EV","LGA","GSO",32,1,0,0,0,0,32,0
8,3,"EV","LGA","GSO",-16,0,NA,NA,NA,NA,NA,0
3,5,"EV","LGA","GSO",-24,0,NA,NA,NA,NA,NA,0
1,3,"EV","LGA","GSO",-24,0,NA,NA,NA,NA,NA,0
2,4,"EV","LGA","GSO",NA,NA,NA,NA,NA,NA,NA,0
7,2,"EV","GSO","LGA",91,1,43,0,9,0,39,0
8,3,"EV","GSO","LGA",78,1,19,0,19,0,40,0
2,4,"EV","GSO","LGA",45,1,0,0,45,0,0,0
1,3,"EV","GSO","LGA",-15,0,NA,NA,NA,NA,NA,0
3,5,"EV","GSO","LGA",-14,0,NA,NA,NA,NA,NA,0
6,1,"EV","GSO","LGA",-4,0,NA,NA,NA,NA,NA,0
5,7,"EV","GSO","LGA",NA,NA,NA,NA,NA,NA,NA,0
2,4,"EV","GSP","LGA",3,0,NA,NA,NA,NA,NA,0
8,3,"EV","GSP","LGA",-17,0,NA,NA,NA,NA,NA,0
7,2,"EV","GSP","LGA",-13,0,NA,NA,NA,NA,NA,0
3,5,"EV","GSP","LGA",-6,0,NA,NA,NA,NA,NA,0
1,3,"EV","GSP","LGA",-23,0,NA,NA,NA,NA,NA,0
6,1,"EV","GSP","LGA",-13,0,NA,NA,NA,NA,NA,0
1,3,"F9","DEN","LGA",-22,0,NA,NA,NA,NA,NA,0
1,3,"F9","LGA","DEN",-25,0,NA,NA,NA,NA,NA,0
1,3,"F9","ATL","LGA",57,1,22,0,35,0,0,0
1,3,"F9","LGA","MIA",34,1,0,0,12,0,22,0
1,3,"F9","MIA","LGA",-9,0,NA,NA,NA,NA,NA,0
1,3,"F9","LGA","ATL",31,1,0,0,31,0,0,0
2,4,"F9","ATL","LGA",-22,0,NA,NA,NA,NA,NA,0
2,4,"F9","LGA","MIA",-21,0,NA,NA,NA,NA,NA,0
2,4,"F9","MIA","LGA",-14,0,NA,NA,NA,NA,NA,0
2,4,"F9","LGA","ATL",16,1,0,0,16,0,0,0
2,4,"F9","DEN","LGA",49,1,0,0,49,0,0,0
2,4,"F9","LGA","DEN",5,0,NA,NA,NA,NA,NA,0
15,3,"EV","LGA","GSO",41,1,0,0,0,0,41,0
20,1,"EV","LGA","GSO",-23,0,NA,NA,NA,NA,NA,0
13,1,"EV","LGA","GSO",40,1,40,0,0,0,0,0
14,2,"EV","LGA","GSO",-2,0,NA,NA,NA,NA,NA,0
29,3,"EV","LGA","GSO",52,1,0,0,0,0,52,0
26,7,"EV","LGA","GSO",-32,0,NA,NA,NA,NA,NA,0
12,7,"EV","LGA","GSO",-46,0,NA,NA,NA,NA,NA,0
1,3,"EV","GSP","LGA",1,0,NA,NA,NA,NA,NA,0
5,7,"EV","GSP","LGA",NA,NA,NA,NA,NA,NA,NA,1
8,3,"EV","GSP","LGA",68,1,0,0,68,0,0,0
7,2,"EV","GSP","LGA",71,1,0,0,71,0,0,0
2,4,"EV","GSP","LGA",-1,0,NA,NA,NA,NA,NA,0
3,5,"EV","GSP","LGA",-9,0,NA,NA,NA,NA,NA,0
6,1,"EV","GSP","LGA",2,0,NA,NA,NA,NA,NA,0
30,4,"EV","BGR","LGA",-34,0,NA,NA,NA,NA,NA,0
16,4,"EV","BGR","LGA",85,1,0,0,85,0,0,0
9,4,"EV","BGR","LGA",-15,0,NA,NA,NA,NA,NA,0
23,4,"EV","BGR","LGA",NA,NA,NA,NA,NA,NA,NA,0
21,2,"EV","LGA","GSO",NA,NA,NA,NA,NA,NA,NA,0
26,7,"EV","LGA","GSO",132,1,0,0,0,0,132,0
12,7,"EV","LGA","GSO",55,1,11,0,10,0,34,0
17,5,"EV","LGA","GSO",-11,0,NA,NA,NA,NA,NA,0
27,1,"EV","LGA","GSO",8,0,NA,NA,NA,NA,NA,0
22,3,"EV","LGA","GSO",-6,0,NA,NA,NA,NA,NA,0
28,2,"EV","LGA","GSO",55,1,22,0,33,0,0,0
13,1,"EV","LGA","GSO",34,1,9,0,25,0,0,0
14,2,"EV","LGA","GSO",-14,0,NA,NA,NA,NA,NA,0
29,3,"EV","LGA","GSO",28,1,0,0,1,0,27,0
10,5,"EV","LGA","GSO",9,0,NA,NA,NA,NA,NA,0
19,7,"EV","LGA","GSO",22,1,0,0,0,0,22,0
15,3,"EV","LGA","GSO",4,0,NA,NA,NA,NA,NA,0
20,1,"EV","LGA","GSO",-23,0,NA,NA,NA,NA,NA,0
24,5,"EV","LGA","GSO",NA,NA,NA,NA,NA,NA,NA,0
5,7,"EV","BUF","DTW",11,0,NA,NA,NA,NA,NA,0
5,7,"EV","DTW","BUF",-2,0,NA,NA,NA,NA,NA,0
28,2,"EV","LGA","SAV",138,1,0,0,0,0,138,0
10,5,"EV","LGA","SAV",18,1,0,0,0,0,18,0
24,5,"EV","LGA","SAV",95,1,0,0,0,0,95,0
9,4,"EV","LGA","SAV",98,1,0,0,0,0,98,0
12,7,"EV","LGA","SAV",58,1,8,0,0,0,50,0
19,7,"EV","LGA","SAV",-14,0,NA,NA,NA,NA,NA,0
29,3,"EV","LGA","SAV",-19,0,NA,NA,NA,NA,NA,0
22,3,"EV","LGA","SAV",9,0,NA,NA,NA,NA,NA,0
17,5,"EV","LGA","SAV",-27,0,NA,NA,NA,NA,NA,0
27,1,"EV","LGA","SAV",-18,0,NA,NA,NA,NA,NA,0
30,4,"EV","LGA","SAV",-22,0,NA,NA,NA,NA,NA,0
26,7,"EV","LGA","SAV",-40,0,NA,NA,NA,NA,NA,0
16,4,"EV","LGA","SAV",65,1,0,0,0,0,65,0
21,2,"EV","LGA","SAV",101,1,0,0,0,0,101,0
23,4,"EV","LGA","SAV",13,0,NA,NA,NA,NA,NA,0
14,2,"EV","LGA","SAV",8,0,NA,NA,NA,NA,NA,0
13,1,"EV","LGA","SAV",-10,0,NA,NA,NA,NA,NA,0
15,3,"EV","LGA","SAV",4,0,NA,NA,NA,NA,NA,0
20,1,"EV","LGA","SAV",-20,0,NA,NA,NA,NA,NA,0
16,4,"EV","DTW","ROC",21,1,0,0,0,0,21,0
23,4,"EV","DTW","ROC",35,1,28,0,0,0,7,0
9,4,"EV","DTW","ROC",-15,0,NA,NA,NA,NA,NA,0
