"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
9,"AA",179,"JFK","SFO",1
11,"AA",179,"JFK","SFO",0
12,"AA",179,"JFK","SFO",0
13,"AA",179,"JFK","SFO",0
14,"AA",179,"JFK","SFO",0
15,"AA",179,"JFK","SFO",0
16,"AA",179,"JFK","SFO",1
18,"AA",179,"JFK","SFO",0
19,"AA",179,"JFK","SFO",0
20,"AA",179,"JFK","SFO",0
21,"AA",179,"JFK","SFO",0
22,"AA",179,"JFK","SFO",0
23,"AA",179,"JFK","SFO",1
25,"AA",179,"JFK","SFO",0
26,"AA",179,"JFK","SFO",0
27,"AA",179,"JFK","SFO",1
28,"AA",179,"JFK","SFO",0
29,"AA",179,"JFK","SFO",0
30,"AA",179,"JFK","SFO",0
1,"AA",180,"LAX","JFK",1
2,"AA",180,"LAX","JFK",0
3,"AA",180,"LAX","JFK",0
4,"AA",180,"LAX","JFK",0
5,"AA",180,"LAX","JFK",0
6,"AA",180,"LAX","JFK",0
7,"AA",180,"LAX","JFK",1
8,"AA",180,"LAX","JFK",0
9,"AA",180,"LAX","JFK",0
10,"AA",180,"LAX","JFK",1
11,"AA",180,"LAX","JFK",0
12,"AA",180,"LAX","JFK",1
13,"AA",180,"LAX","JFK",1
14,"AA",180,"LAX","JFK",0
15,"AA",180,"LAX","JFK",0
16,"AA",180,"LAX","JFK",1
17,"AA",180,"LAX","JFK",1
18,"AA",180,"LAX","JFK",0
19,"AA",180,"LAX","JFK",0
20,"AA",180,"LAX","JFK",1
21,"AA",180,"LAX","JFK",0
22,"AA",180,"LAX","JFK",0
1,"AA",84,"JFK","BOS",0
2,"AA",85,"BOS","JFK",1
3,"AA",85,"BOS","JFK",0
4,"AA",85,"BOS","JFK",0
5,"AA",85,"BOS","JFK",1
6,"AA",85,"BOS","JFK",0
7,"AA",85,"BOS","JFK",0
8,"AA",85,"BOS","JFK",1
9,"AA",85,"BOS","JFK",1
10,"AA",85,"BOS","JFK",0
