"DAY_OF_MONTH","CARRIER","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","ARR_DELAY","ARR_DEL15","CANCELLED","DIVERTED","FLIGHTS","FL_NUM","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
17,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-22,0,0,0,1,143,NA,NA,NA,NA,NA,0
18,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",12,0,0,0,1,143,NA,NA,NA,NA,NA,0
19,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-3,0,0,0,1,143,NA,NA,NA,NA,NA,0
20,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-16,0,0,0,1,143,NA,NA,NA,NA,NA,0
21,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-16,0,0,0,1,143,NA,NA,NA,NA,NA,0
22,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-20,0,0,0,1,143,NA,NA,NA,NA,NA,0
23,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",3,0,0,0,1,143,NA,NA,NA,NA,NA,0
24,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-23,0,0,0,1,143,NA,NA,NA,NA,NA,0
25,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-21,0,0,0,1,143,NA,NA,NA,NA,NA,0
26,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-14,0,0,0,1,143,NA,NA,NA,NA,NA,0
27,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-6,0,0,0,1,143,NA,NA,NA,NA,NA,0
28,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-12,0,0,0,1,143,NA,NA,NA,NA,NA,0
29,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-14,0,0,0,1,143,NA,NA,NA,NA,NA,0
11,"AA",14747,1474703,30559,"SEA",14107,1410702,30466,"PHX",11,0,0,0,1,907,NA,NA,NA,NA,NA,0
12,"AA",14747,1474703,30559,"SEA",14107,1410702,30466,"PHX",16,1,0,0,1,907,7,0,0,0,9,0
11,"AA",14107,1410702,30466,"PHX",14747,1474703,30559,"SEA",-11,0,0,0,1,1053,NA,NA,NA,NA,NA,0
12,"AA",14107,1410702,30466,"PHX",14747,1474703,30559,"SEA",-18,0,0,0,1,1053,NA,NA,NA,NA,NA,0
1,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-7,0,0,0,1,986,NA,NA,NA,NA,NA,0
2,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-9,0,0,0,1,986,NA,NA,NA,NA,NA,0
3,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-11,0,0,0,1,986,NA,NA,NA,NA,NA,0
4,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-15,0,0,0,1,986,NA,NA,NA,NA,NA,0
5,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-21,0,0,0,1,986,NA,NA,NA,NA,NA,0
6,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",0,0,0,0,1,986,NA,NA,NA,NA,NA,0
7,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",25,1,0,0,1,986,19,0,0,0,6,0
8,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-22,0,0,0,1,986,NA,NA,NA,NA,NA,0
9,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-4,0,0,0,1,986,NA,NA,NA,NA,NA,0
10,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",6,0,0,0,1,986,NA,NA,NA,NA,NA,0
11,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",11,0,0,0,1,986,NA,NA,NA,NA,NA,0
12,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",11,0,0,0,1,986,NA,NA,NA,NA,NA,0
13,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",1,0,0,0,1,986,NA,NA,NA,NA,NA,0
14,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",5,0,0,0,1,986,NA,NA,NA,NA,NA,0
15,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",30,1,0,0,1,986,0,0,18,0,12,0
16,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-14,0,0,0,1,986,NA,NA,NA,NA,NA,0
17,"AA",11298,1129804,30194,"DFW",14747,1474703,30559,"SEA",-9,0,0,0,1,986,NA,NA,NA,NA,NA,0
